           k         eta           a       delta      delta'
   0.0501187  10.3288400   0.0756804   0.0601612   0.0111220
   0.0501187  10.3727700   0.0762849   0.0606502   0.0111378
   0.0501187  10.4167000   0.0768895   0.0611398   0.0111546
   0.0501187  10.4606300   0.0774941   0.0616302   0.0111722
   0.0501187  10.5045600   0.0780987   0.0621214   0.0111907
   0.0501187  10.5484900   0.0787033   0.0626135   0.0112101
   0.0501187  10.5924200   0.0793080   0.0631064   0.0112303
   0.0501187  10.6363500   0.0799126   0.0636002   0.0112513
   0.0501187  10.6802800   0.0805173   0.0640949   0.0112731
   0.0501187  10.7242100   0.0811219   0.0645906   0.0112956
   0.0501187  10.7681400   0.0817266   0.0650873   0.0113190
   0.0501187  10.8120700   0.0823312   0.0655851   0.0113430
   0.0501187  10.8560000   0.0829359   0.0660840   0.0113678
   0.0501187  10.8999300   0.0835406   0.0665839   0.0113933
   0.0501187  10.9438600   0.0841453   0.0670850   0.0114194
   0.0501187  10.9877900   0.0847500   0.0675872   0.0114463
   0.0501187  11.0317200   0.0853547   0.0680907   0.0114738
   0.0501187  11.0756500   0.0859594   0.0685953   0.0115019
   0.0501187  11.1195800   0.0865642   0.0691012   0.0115307
   0.0501187  11.1635100   0.0871689   0.0696084   0.0115600
   0.0501187  11.2074400   0.0877736   0.0701169   0.0115900
   0.0501187  11.2513700   0.0883783   0.0706267   0.0116206
   0.0501187  11.2953000   0.0889831   0.0711379   0.0116517
   0.0501187  11.3392300   0.0895878   0.0716504   0.0116835
   0.0501187  11.3831600   0.0901926   0.0721644   0.0117157
   0.0501187  11.4270900   0.0907974   0.0726798   0.0117485
   0.0501187  11.4710200   0.0914021   0.0731966   0.0117819
   0.0501187  11.5149500   0.0920069   0.0737150   0.0118157
   0.0501187  11.5588800   0.0926117   0.0742348   0.0118500
   0.0501187  11.6028100   0.0932165   0.0747561   0.0118849
   0.0501187  11.6467400   0.0938213   0.0752790   0.0119202
   0.0501187  11.6906700   0.0944261   0.0758034   0.0119560
   0.0501187  11.7346000   0.0950309   0.0763294   0.0119923
   0.0501187  11.7785300   0.0956357   0.0768571   0.0120290
   0.0501187  11.8224600   0.0962405   0.0773863   0.0120662
   0.0501187  11.8663900   0.0968453   0.0779172   0.0121038
   0.0501187  11.9103200   0.0974501   0.0784498   0.0121418
